Name	20446_OCI-shC-1_S37_L999_R1_001	20447_OCI-shC-2_S38_L999_R1_001	20450_OCI-shP9-1_S40_L999_R1_001	20451_OCI-shP9-2_S41_L999_R1_001
ENSG00000007168	3773	4018	3573	3300
ENSG00000007171	0	2	0	0
ENSG00000007174	1	0	2	1
ENSG00000007202	13501	14343	14439	14435
ENSG00000007216	0	0	0	0
ENSG00000007237	270	321	574	556
ENSG00000007255	263	288	238	256
ENSG00000007264	289	317	241	209
ENSG00000007306	0	0	0	0
ENSG00000007312	12	14	33	13
ENSG00000007314	2	2	3	2
ENSG00000007341	693	749	954	1000
ENSG00000007350	1048	1135	579	594
ENSG00000007372	5	6	10	4
ENSG00000007376	1266	1295	1114	1181
ENSG00000007384	192	181	167	211
ENSG00000007392	906	1040	959	928
ENSG00000007402	1	2	2	3
ENSG00000007516	12	9	11	13
ENSG00000007520	676	732	713	703
ENSG00000007541	621	708	586	651
ENSG00000007545	553	577	479	541
ENSG00000007866	62	51	14	20
ENSG00000007908	0	1	0	0
ENSG00000007923	2876	2948	2987	3048
ENSG00000007933	1	1	2	0
ENSG00000007944	554	570	350	319
ENSG00000007952	0	0	0	0
ENSG00000007968	766	822	690	629
ENSG00000008018	5362	5651	5057	4905
ENSG00000008056	0	4	3	2
ENSG00000008083	1294	1403	1642	1550
ENSG00000008086	182	159	148	161
ENSG00000008118	0	0	0	0
ENSG00000008128	105	127	98	127
ENSG00000008130	2337	2389	2598	2752
ENSG00000008196	1	2	3	2
ENSG00000008197	1	1	0	0
ENSG00000008226	12	17	9	9
ENSG00000008256	835	799	775	695
ENSG00000008277	263	306	195	217
ENSG00000008282	2253	2345	2785	2549
ENSG00000008283	183	202	212	192
ENSG00000008294	5325	5867	5392	5428
ENSG00000008300	102	122	64	85
ENSG00000008311	23	20	16	14
ENSG00000008323	3	2	0	1
ENSG00000008324	624	664	610	588
ENSG00000008382	423	437	331	327
ENSG00000008394	2051	2198	2474	2446
ENSG00000008405	253	249	160	165
ENSG00000008438	0	0	0	0
ENSG00000008441	1324	1291	1161	1021
ENSG00000008513	2207	2226	2260	2339
ENSG00000008516	32	28	29	36
ENSG00000008517	6	7	11	12
ENSG00000008710	1694	1783	1354	1586
ENSG00000008735	8	16	15	18
ENSG00000008838	2707	2819	2740	2875
ENSG00000008853	1397	1402	1599	1577
ENSG00000008869	1696	1899	1599	1538
ENSG00000008952	4408	4880	4033	3696
ENSG00000008988	12252	12530	10942	10478
ENSG00000009307	35425	39040	34991	33898
ENSG00000009335	5272	5772	5884	5642
ENSG00000009413	2410	2730	2537	2438
ENSG00000009694	15	28	26	17
ENSG00000009709	0	0	0	0
ENSG00000009724	3	3	3	2
ENSG00000009765	8	11	10	8
ENSG00000009780	222	254	226	227
ENSG00000009790	370	441	300	289
ENSG00000009830	664	679	556	636
ENSG00000009844	1554	1769	3292	3032
ENSG00000009950	207	173	158	181
ENSG00000009954	8075	8815	7660	7922
ENSG00000010017	1816	2030	1767	1712
ENSG00000010030	6	5	37	49
ENSG00000010072	781	899	809	789
ENSG00000010165	1166	1143	1183	1197
ENSG00000010219	30	39	36	30
ENSG00000010244	8932	10028	9915	9644
ENSG00000010256	4523	4672	4923	4816
ENSG00000010270	1643	1794	1567	1472
ENSG00000010278	4	8	11	3
ENSG00000010282	0	0	0	0
ENSG00000010292	5271	5590	4762	4650
ENSG00000010295	612	696	745	735
ENSG00000010310	220	217	127	156
ENSG00000010318	471	537	475	458
ENSG00000010319	181	218	161	177
ENSG00000010322	1866	1981	2223	2280
ENSG00000010327	2	3	24	17
ENSG00000010361	7	5	3	3
ENSG00000010379	2	0	2	2
ENSG00000010404	1113	1139	1229	1172
ENSG00000010438	0	0	0	0
ENSG00000010539	736	815	901	877
ENSG00000010610	882	867	855	846
ENSG00000010626	59	57	39	42
ENSG00000010671	2567	2808	3243	3127
ENSG00000010704	14	19	18	6
ENSG00000010803	7645	8136	6207	6214
ENSG00000010810	398	373	307	278
ENSG00000010818	735	680	610	633
ENSG00000010932	0	4	1	2
ENSG00000011007	2312	2682	2482	2573
ENSG00000011009	1064	1126	1235	1195
